Cc,Sucursal,GRABADOR,ALARMA,CONTROL,SINCROBACK
1933,Miahuantla,192.169.0.82,192.169.0.89,192.168.0.90,192.168.0.91
1184,Polotitlan,192.168.238.66,192.168.238.73,192.168.238.74,192.168.238.75
1372,Calakmul,192.168.232.66,192.168.232.73,192.168.232.74,192.168.232.75
1729,La Trinidad,192.168.251.210,192.168.251.217,192.168.251.218,192.168.251.219
1785,Timilpan,192.168.238.18,192.168.238.25,192.168.238.26,192.168.238.27
2114,Cárdenas,192.168.253.50,192.168.253.57,192.168.253.58,192.168.253.59
1471,Matínez de la Torre,192.169.1.146,192.168.1.153,192.168.1.154,192.168.1.155
1566,Cardenas C 16,192.168.252.194,192.168.252.201,192.168.252.202,192.168.252.203
1751,Zinacatan,192.168.233.66,192.168.233.73,192.168.233.74,192.168.233.75
1750,Paste,192.168.233.98,192.168.233.105,192.168.233.106,192.168.233.107
2027,San Juan Zitlaltepec( zumpango),192.168.229.210,192.168.229.217,192.168.229.218,192.168.229.219
2119,Libertad Tamaulipas,192.168.253.2,192.168.253.9,192.168.253.10,192.168.253.11
1749,Naching,192.168.233.114,192.168.233.121,192.168.233.122,192.168.233.123
1567,Coronel Gregorio,192.168.252.210,192.168.252.217,192.168.252.218,192.168.252.219
1463,San Juan Bautista,192.168.246.114,192.168.246.121,192.168.246.122,192.168.246.123
1595,Tapachula,192.168.234.194,192.168.234.201,192.168.234.202,192.168.234.203
1180,Atlacomulco,192.168.229.162,192.168.229.169,192.168.229.170,192.168.229.171
2182,Cuautepec,192.168.240.162,192.168.240.173,192.168.240.174,192.168.240.175
1125,Hidalgo Tamaulipas,192.168.227.98,192.168.227.105,192.168.227.106,192.168.227.107
1483,Tuxtla Chico,192.168.233.210,192.168.233.217,192.168.233.218,192.168.233.219
1459,Tetecala,192.168.243.146,192.168.243.153,192.168.243.154,192.168.243.155
2115,Miguel  Hidalgo Tabasco,192.168.253.34,192.168.253.41,192.168.253.42,192.168.253.43
1542,Zacapu,192.168.243.2,192.168.243.9,192.168.243.10,192.168.243.11
1578,Soconusco,192.168.234.34,192.168.234.41,192.168.234.42,192.168.234.43
1631,Chilcuautla,192.168.241.18,192.168.241.25,192.168.241.26,192.168.241.27
1714,Santa Maria Coatepec,192.168.250.66,192.168.250.73,192.168.250.74,192.168.250.75
1808,Mixquiahuala,192.168.240.242,192.168.240.249,192.168.240.250,192.168.240.251
1402,Cuernavaca,192.168.243.66,192.168.243.73,192.168.243.74,192.168.243.75
