,sucursal,nombre,camara,first_video,last_video,segmento_inicio,segmento_fin,tiempo_segmento,last_update
53,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 09:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 08:14:44
54,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 08:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 07:06:13
55,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 07:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 06:19:37
56,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 06:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 05:04:52
57,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 05:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 04:17:54
58,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 04:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 03:05:04
59,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 03:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 02:17:39
60,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 02:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 01:05:22
61,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 01:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 00:17:39
62,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 00:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-18 23:04:14
