,sucursal,nombre,ip,channel,starttime,endtime,diff
115,2375,XOCHIMILCO 4,192.169.4.162,0,2023-04-17 22:59:00,2023-04-18 08:43:15,584.25
116,2375,XOCHIMILCO 4,192.169.4.162,0,2023-04-18 19:13:07,2023-04-18 23:59:00,285.8833333333333
117,2375,XOCHIMILCO 4,192.169.4.162,1,2023-04-17 22:59:00,2023-04-18 08:43:14,584.2333333333333
118,2375,XOCHIMILCO 4,192.169.4.162,1,2023-04-18 18:40:41,2023-04-18 23:59:00,318.31666666666666
119,2375,XOCHIMILCO 4,192.169.4.162,2,2023-04-17 22:59:00,2023-04-18 08:43:14,584.2333333333333
120,2375,XOCHIMILCO 4,192.169.4.162,2,2023-04-18 18:40:49,2023-04-18 23:59:00,318.18333333333334
121,2375,XOCHIMILCO 4,192.169.4.162,3,2023-04-17 22:59:00,2023-04-18 08:43:13,584.2166666666667
122,2375,XOCHIMILCO 4,192.169.4.162,3,2023-04-18 18:40:48,2023-04-18 23:59:00,318.2
123,2375,XOCHIMILCO 4,192.169.4.162,4,2023-04-17 22:59:00,2023-04-18 08:43:16,584.2666666666667
124,2375,XOCHIMILCO 4,192.169.4.162,4,2023-04-18 18:40:42,2023-04-18 23:59:00,318.3
125,2375,XOCHIMILCO 4,192.169.4.162,5,2023-04-17 22:59:00,2023-04-18 08:43:14,584.2333333333333
126,2375,XOCHIMILCO 4,192.169.4.162,5,2023-04-18 18:40:49,2023-04-18 23:59:00,318.18333333333334
127,2375,XOCHIMILCO 4,192.169.4.162,6,2023-04-17 22:59:00,2023-04-18 08:43:15,584.25
128,2375,XOCHIMILCO 4,192.169.4.162,6,2023-04-18 18:40:42,2023-04-18 23:59:00,318.3
129,2375,XOCHIMILCO 4,192.169.4.162,7,2023-04-17 22:59:00,2023-04-18 08:43:14,584.2333333333333
130,2375,XOCHIMILCO 4,192.169.4.162,7,2023-04-18 18:40:42,2023-04-18 23:59:00,318.3
131,2375,XOCHIMILCO 4,192.169.4.162,8,2023-04-17 22:59:00,2023-04-18 08:43:44,584.7333333333333
132,2375,XOCHIMILCO 4,192.169.4.162,8,2023-04-18 18:40:44,2023-04-18 23:59:00,318.26666666666665
133,2375,XOCHIMILCO 4,192.169.4.162,9,2023-04-17 22:59:00,2023-04-18 08:44:13,585.2166666666667
134,2375,XOCHIMILCO 4,192.169.4.162,9,2023-04-18 18:40:47,2023-04-18 23:59:00,318.21666666666664
135,2375,XOCHIMILCO 4,192.169.4.162,10,2023-04-17 22:59:00,2023-04-18 08:43:42,584.7
