
sucursal:241, cameras:7,videos_lost:2 
sucursal:238, cameras:16,videos_lost:0 
sucursal:239, cameras:8,videos_lost:0 
sucursal:234, cameras:8,videos_lost:0 
sucursal:229, cameras:17,videos_lost:4 
sucursal:241, cameras:7,videos_lost:2 
sucursal:241, cameras:7,videos_lost:1 
sucursal:229, cameras:17,videos_lost:4 
sucursal:227, cameras:8,videos_lost:2 
sucursal:239, cameras:8,videos_lost:0 
sucursal:234, cameras:8,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:227, cameras:8,videos_lost:1 
sucursal:227, cameras:8,videos_lost:1 
sucursal:239, cameras:8,videos_lost:0 
sucursal:234, cameras:8,videos_lost:0 
sucursal:243, cameras:7,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:227, cameras:8,videos_lost:1 
sucursal:243, cameras:7,videos_lost:0 
sucursal:242, cameras:13,videos_lost:5 
sucursal:227, cameras:8,videos_lost:1 
sucursal:243, cameras:7,videos_lost:0 
sucursal:242, cameras:13,videos_lost:4 
sucursal:234, cameras:8,videos_lost:0 
sucursal:243, cameras:7,videos_lost:0 
sucursal:242, cameras:13,videos_lost:5 
sucursal:238, cameras:16,videos_lost:1 
sucursal:243, cameras:7,videos_lost:0 
sucursal:242, cameras:13,videos_lost:5 
sucursal:224, cameras:7,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:244, cameras:5,videos_lost:14 
sucursal:238, cameras:16,videos_lost:0 
sucursal:243, cameras:7,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:242, cameras:13,videos_lost:8 
sucursal:246, cameras:12,videos_lost:0 
sucursal:239, cameras:8,videos_lost:1 
sucursal:246, cameras:12,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:239, cameras:8,videos_lost:1 
sucursal:243, cameras:7,videos_lost:0 
sucursal:246, cameras:12,videos_lost:0 
sucursal:239, cameras:8,videos_lost:1 
sucursal:246, cameras:12,videos_lost:0 
sucursal:244, cameras:5,videos_lost:14 
sucursal:239, cameras:8,videos_lost:1 
sucursal:239, cameras:8,videos_lost:1 
sucursal:242, cameras:13,videos_lost:6 
sucursal:244, cameras:5,videos_lost:14 
sucursal:246, cameras:12,videos_lost:1 
sucursal:246, cameras:12,videos_lost:0 
sucursal:246, cameras:12,videos_lost:0 
sucursal:242, cameras:13,videos_lost:7 
sucursal:238, cameras:16,videos_lost:0 
sucursal:246, cameras:12,videos_lost:0 
sucursal:242, cameras:13,videos_lost:5 
sucursal:242, cameras:13,videos_lost:10 
sucursal:238, cameras:16,videos_lost:0 
