Sucursal,Dvr,DvrModelo,DvrSerial,camara,CamaraIp,CamaraSerie,CamaraModelo,HttpPort,HttpsPort,Port,Version,AudioInputChannels,VideoInputChannels,VideoInputs[0].Name
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c6, 192.168.227.21, 7E06A1CPAGA80DD, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1124 -Ciudad Mier SEDENA-Éxter
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c1, 192.168.227.39, 7D0C17EPAG877A8, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1127 Panotla - Ejecutivo
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c2, 192.168.227.38, 7D0C17EPAGE49D6, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1127 Panotla - Cajas
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c3, 192.168.227.37, 7D0C17EPAGAE845, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1127 Panotla - Bóveda
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c4, 192.168.227.36, 7E06A1CPAG1176D, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1127 Panotla - Exterior
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c5, 192.168.227.35, 7E06A1CPAG87D8E, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1127 Panotla - Dotación de Val
1127,192.168.227.34,DH-XVR5216A-I2,7D0C3B8PAZED1DD, c6, 192.168.227.40, 7D0C17EPAGBB14E, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1127 Panotla - ATM
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c1, 192.168.227.133, 7D0C17EPAGA708E, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1130 Acacoyagua - Cajas
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c2, 192.168.227.131, 7E06A1CPAG62162, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1130 Acacoyagua - Dotación de 
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c3, 192.168.227.132, 7E06A1CPAGEDE22, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1130 Acacoyagua - Exterior
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c4, 192.168.227.136, 7D0C17EPAGAF447, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1130 Acacoyagua -Bóveda
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c5, 192.168.227.134, 7D0C17EPAGEA8E0, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1130 Acacoyagua - Ejecutivo
1130,192.168.227.130,DH-XVR5216A-I2,7D0C3B8PAZA4A08, c6, 192.168.227.135, 7D0C17EPAG9B7E3, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1130 Acacoyagua - ATM
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c1, 192.168.227.163, 7D0C17EPAG11B08, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1132 Tuxtla Gutiérrez ISSTE-Ca
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c2, 192.168.227.167, 7D0C17EPAG59CD3, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1132 Tuxtla Gutiérrez ISSTE - 
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c3, 192.168.227.165, 7D0C17EPAG6BFFE, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1132 Tuxtla Gutiérrez ISSTE - 
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c4, 192.168.227.164, 7D0C17EPAGA57AE, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1132 Tuxtla Gutiérrez ISSTE - 
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c5, 192.168.227.166, 7E06A1CPAGA0A7C, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1132 Tuxtla Gutiérrez ISSTE -D
1132,192.168.227.162,DH-XVR5216A-I2,7D0C3B8PAZ1944D, c6, 192.168.227.168, 7E06A1CPAGFDA18, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1132 Tuxtla Gutiérrez ISSTE - 
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c1, 192.168.227.200, 7D0C17EPAGAE5AE, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1134  Celaya - Cajas
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c2, 192.168.227.198, 7D0C17EPAG32F30, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1134 Celaya - ATM
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c3, 192.168.227.197, 7D0C17EPAG0D709, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1134  Celaya - Ejecutivo
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c4, 192.168.227.195, 7D0C17EPAG66504, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1134  Celaya - Boveda
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c5, 192.168.227.196, 7E06A1CPAG18BDB, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1134  Celaya - Exterior
1134,192.168.227.194,DH-XVR5216A-I2,7D0C3B8PAZ81CDD, c6, 192.168.227.199, 7E06A1CPAGB1CD2, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1134  Celaya - Dotacíon de Val
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c1, 192.168.227.228, 7D0C17EPAG8B380, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1136 Yahualica - Cajas
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c2, 192.168.227.229, 7D0C17EPAG7212B, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1136 Yahualica - Ejecutivo
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c3, 192.168.227.227, 7E06A1CPAG76480, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1136 Yahualica - Dotación de V
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c4, 192.168.227.231, 7D0C17EPAG830AD, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1136 Yahualica - Bóveda
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c5, 192.168.227.230, 7D0C17EPAG08A55, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1136 Yahualica - ATM
1136,192.168.227.226,DH-XVR5216A-I2,7D0C3B8PAZ974E1, c6, 192.168.227.232, 7E06A1CPAG64668, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1136 Yahualica - Exterior
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c1, 192.169.3.120, 6E0337CPAGFA831, IPC-HDW1230S-S4, 80, 443, 37777, 2.680.0000000.11.R,2019-12-30, 0, 1, 1138 Teotihuacán de Arista - B
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c2, 192.169.3.117, 6E0337CPAGC40DC, IPC-HDW1230S-S4, 80, 443, 37777, 2.680.0000000.11.R,2019-12-30, 0, 1, 1138 Teotihuacán de Arista - A
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c3, 192.169.3.118, 6E0337CPAGE70C9, IPC-HDW1230S-S4, 80, 443, 37777, 2.680.0000000.11.R,2019-12-30, 0, 1, 1138 Teotihuacán de Arista - E
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c4, 192.169.3.119, 6E0337CPAG6AC01, IPC-HDW1230S-S4, 80, 443, 37777, 2.680.0000000.11.R,2019-12-30, 0, 1, 1138 Teotihuacán de Arista - C
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c5, 192.169.3.115, 6E02D2DPAGD6753, IPC-HFW2431T-ZS-S2, 80, 443, 37777, 2.800.0000000.16.R,2020-04-18, 0, 1, 1138 Teotihuacán - Dotación d
1138,192.169.3.114,DH-XVR5216A-X,4L0A601PAZD0DB7, c6, 192.169.3.116, 6E02D2DPAGFF8F7, IPC-HFW2431T-ZS-S2, 80, 443, 37777, 2.800.0000000.16.R,2020-04-18, 0, 1, 1138 Teotihuacán - Exterior
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c1, 192.168.228.56, 7D0C17EPAGEA142, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1141 Tehuantepec la Soledad - C
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c2, 192.168.228.53, 7D0C17EPAG49DDC, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1141 Tehuantepec la Soledad - B
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c3, 192.168.228.52, 7D0C17EPAG02806, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1141 Tehuantepec la Soledad - E
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c4, 192.168.228.51, 7E06A1CPAGAD492, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1141 Tehuantepec la Soledad - D
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c5, 192.168.228.55, 7D0C17EPAG829B0, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1141 Tehuantepec la Soledad - A
1141,192.168.228.50,DH-XVR5216A-I2,7D0C3B8PAZ5D3DD, c6, 192.168.228.54, 7E06A1CPAG5CCED, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1141 Tehuantepec la Soledad - E
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c1, 192.168.228.86, 7D0C17EPAG5E840, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1143 Heroica Puebla de Zaragoza
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c2, 192.168.228.88, 7D0C17EPAG1F915, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1143 Heroica Puebla de Zaragoza
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c3, 192.168.228.85, 7D0C17EPAGA58D8, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1143 Heroica Puebla de Zaragoza
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c4, 192.168.228.87, 7D0C17EPAG77A26, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1143 Heroica Puebla de Zaragoza
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c5, 192.168.228.84, 7E06A1CPAGC6F48, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1143 Heroica Puebla de Zaragoza
1143,192.168.228.82,DH-XVR5216A-I2,7D0C3B8PAZ7A521, c6, 192.168.228.83, 7E06A1CPAG4CCEC, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1143 Heroica Puebla de Zaragoza
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c1, 192.168.228.133, 7D0C17EPAGA81E3, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1146 Mixtiquic de Carmona - Caj
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c2, 192.168.228.131, 7E06A1CPAGC3F08, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1146 Mixtiquic de Carmona - Ext
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c3, 192.168.228.132, 7E06A1CPAG54C39, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1146 Mixtiquic de Carmona - Dot
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c4, 192.168.228.134, 7D0C17EPAG34B97, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1146 Mixtiquic de Carmona - Eje
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c5, 192.168.228.136, 7D0C17EPAG1064C, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1146 Mixtiquic de Carmona - Bov
1146,192.168.228.130,DH-XVR5216A-I2,7D0C3B8PAZ65DB8, c6, 192.168.228.135, 7D0C17EPAGEA52D, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1146 Mixtiquic de Carmona - ATM
1148,192.168.228.162,DH-XVR5216A-I2,7D0C3B8PAZ8683F, c1, 192.168.228.163, 7D0C17EPAG30B0D, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, None, None, 1148 Choix Telecom - Bóveda
1148,192.168.228.162,DH-XVR5216A-I2,7D0C3B8PAZ8683F, c2, 192.168.228.164, 7D0C17EPAG417E8, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1148 Choix Telecom - Cajas
1148,192.168.228.162,DH-XVR5216A-I2,7D0C3B8PAZ8683F, c3, 192.168.228.165, 7D0C17EPAGA9ECC, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1148 Choix Telecom - Ejecutivo
1148,192.168.228.162,DH-XVR5216A-I2,7D0C3B8PAZ8683F, c4, 192.168.228.166, 7D0C17EPAGAE49A, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1148 Choix Telecom - ATM
